Probes	Description	adipose	adrenal	brain	breast	colon	heart	kidney	liver	lung	lymphNode	ovary	prostate	skeltalMuscle	whiteBloodCell	testes	thyroid	testes_R	brain_R	placenta_R	foreskin_R	hLF_r2	hLF_r1
XLOC_012441	na|@chr17:32517543-32523223|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.3443	0	8.9	0	0	0	0	0
XLOC_007164	na|@chr8:96222829-96228675|	0	0	0	0	0	0	1.0074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_012440	na|@chr17:32496077-32510651|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.2694	0	4.9493	0	0	0	0	0
XLOC_007162	na|@chr8:95649927-95650636|	0	0	0	0	0	0	0.75291	0	0	0	0	0.89541	0	0	0	0.88914	0	0	0	0	0	0
XLOC_007161	na|@chr8:94896995-94910815|	0	0	0	0	0	2.2933	0	0	0	0	0	0	0	0	0.91675	0	0	0	0	0	0	0
XLOC_000010	na|@chr1:840486-841186|	0	0.20454	0	0	0	0	0	0	0	0	0	0.14649	0	0	0.25318	0	0	0	0	0	0	0
XLOC_000011	na|@chr1:846814-850351|	0	0.050435	0	0	0	0	0.089544	0	0	0.13459	0.06611	0.23444	0	0	0.26028	0.08491	0.30613	0.4183	1.7907	0	0	0.48122
XLOC_001684	na|@chr2:136846225-136869280|	0	0	0	0	0	0	0	0	0	0.6684	0	0	0	0	1.6832	0	0	0	0	0	0	0
XLOC_008730	na|@chr10:10825866-10837007|	1.4337	0.36584	1.4442	3.6975	3.9901	0	0	0	56.717	0.78187	0	0.37298	0	0	0.37179	0	0	1.7311	0	0	0	0
XLOC_001686	na|@chr2:138859453-138863475|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_007169	na|@chr8:99374347-99401181|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.89397	0	0	0	0	0	0	0
XLOC_001687	na|@chr2:139175856-139259268|	0	0	0	0	0	0	0.15541	0	0	0	0.093193	0	0	0	0	0	0	0	0	0	0	0
XLOC_001688	na|@chr2:139362079-139370737|	0	0.73738	0	0	0	0	0	0	0	0	0	0	0	0	0.14767	0	0	0	0	0	0	0
XLOC_007167	na|@chr8:98630164-98630871|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.76172	0	0	0	0	0	0	0
XLOC_007168	na|@chr8:99327930-99333207|	0	0	0	0.56419	0	0	0	0	0	0	0.76228	0.70496	1.3931	0	0	0	0	0	0	0	0	0
XLOC_007165	na|@chr8:96998340-97005331|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_008731	na|@chr10:10976025-10994138|	0.1083	0	0	0	0	0	0	0	0	0	0	0	0	0	12.212	0	29.317	0	0	0	0	0
XLOC_007166	na|@chr8:97379634-97398645|	0.089728	1.1585	0.065443	0.21846	0.092509	0.1259	0.038955	0.021341	0.33548	0.21471	1.6657	0.46444	0.025876	0	0.6122	0.22343	0.10817	0	0.12751	0	0	0.059051
XLOC_008737	na|@chr10:15226941-15232617|	0.04287	0.099725	0.38641	0.14187	0.076769	0	0.26197	0	0.035555	0	0.079854	0	0	0	0.20268	0.051492	0.2499	0.21241	0	0	0	0.083544
XLOC_008735	na|@chr10:13554372-13572262|	1.9639	0.59696	0.61748	1.0396	4.3783	2.6564	3.5161	1.8112	7.9549	1.7624	1.4764	2.0856	3.9579	0	9.8697	4.5151	0	0	0	0	0	0
XLOC_001680	na|@chr2:133074161-133104696|	0	0	0	0	0	0	0	0	0	0	0	1.118	0	0	6.0847	0	7.5706	0	0	0	0	0
XLOC_001682	na|@chr2:136770034-136774067|	0	0	0	0	0	0	0	0	0	0	0.16172	0	0	0	0	0	0	0	0	0	0	0
XLOC_001683	na|@chr2:136835461-136836083|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_000003	na|@chr1:459655-461954|	0	0	0.077229	0	0	0	0	0	0	0	0	0.069262	0	0.064603	0.028245	0	0.20089	0	0.17317	0	0	0
XLOC_012457	na|@chr17:36606632-36608764|	0.28724	1.1842	0	0	0	1.0021	1.8464	0.22072	7.5527	2.3888	0.18677	4.2105	0.92842	0	0.54576	0.53273	0	0	21.349	18.806	2.4596	6.6838
XLOC_000004	na|@chr1:521368-532878|	0	0	0.089326	0	0	0	0	0	0	0	0	0	0	0	0.47092	0.056627	0	0	0	0	0	0
XLOC_000001	na|@chr1:160445-161525|	0	0.036087	0	0	0	0	0	0	0	0	0.12059	0	0	0.10732	0	0	0	0	0	0	0	0
XLOC_000002	na|@chr1:320161-321056|	0.12864	0.22566	0.12461	0.10899	0	0.061976	0.054473	0.058716	0.19073	0.15077	0.16511	0.073696	0.06719	0.053313	0.19969	0.16726	1.2689	0	0.51514	0	0	0.20799
XLOC_012454	na|@chr17:36202572-36244363|	0.40906	0.2338	0.097146	0.16558	0.14077	0.052698	0.79355	0	0.097492	0.47883	0	0.070711	0	0	0.37317	0.072799	0.34158	0	0	0	0	0
XLOC_000007	na|@chr1:745488-755214|	0.20178	0.35299	0.3016	0.25445	0.25726	0.16734	0.12584	0.15817	0.035386	0.26536	0.19949	0.49621	0	0.076356	0.29811	0.16613	0.5626	0.2351	0.36711	0	0	0
XLOC_012453	na|@chr17:36158868-36162759|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_000008	na|@chr1:756055-759075|	0.19546	1.3716	1.3039	0.43651	0.2277	0.25089	1.3859	0.70584	0	0.27239	0.25698	0	0	0.19824	0.12926	0.32046	1.21	1.4552	0.69058	0	0	0
XLOC_012456	na|@chr17:36443035-36452228|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41534	0	0.6941	0	0	0	0	0
XLOC_000005	na|@chr1:696290-697369|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_007150	na|@chr8:91604968-91631400|	0	0	0	0.12139	0	0	0.21552	0	0	0	0	0.15067	0	0	1.8119	0	2.4718	0	0	0	0	0
XLOC_012452	na|@chr17:35289408-35294022|	0	0	0	0	0	0	8.6061	0	0	0	0.47215	0.19502	0	0	0.2214	0	0	0	0	0	0	0
XLOC_012451	na|@chr17:34897581-34900678|	0.14758	0.089731	0	0	0.14323	0.12768	0.36017	0.093435	0	0.11014	0.13317	0.12216	0	0	0.32656	0.2363	1.6682	0	0	0.37029	0	0
XLOC_007158	na|@chr8:94146323-94179079|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_001676	na|@chr2:132301071-132310702|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1404	0	0	0	0	0
